"Id","Any","Mes","Dia","DiaDeLaSetmana","Hora_enter","Lloc_interes","Latitud","Longitud","Max_Nivell_LAeq_1h","Min_Nivell_LAeq_1h","Nivell_LAeq_1h","Categoria_Nivell"
103,2023,1,1,"diumenge",11,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","63.6",4
104,2023,1,1,"diumenge",11,"Mercat del Born","41.387076","2.180426","91.7","39.7","59.9",4
105,2023,1,1,"diumenge",11,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","62.1",5
106,2023,1,1,"diumenge",11,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","64.2",5
107,2023,1,1,"diumenge",11,"El Molino","41.37485","2.166773","87.6","60.1","69.9",4
108,2023,1,1,"diumenge",11,"Plaça de Joanic",41406,"2.162636","90.8","53.1","66.9",4
109,2023,1,1,"diumenge",12,"Plaça de Joanic",41406,"2.162636","90.8","53.1","67.9",4
110,2023,1,1,"diumenge",12,"Mercat del Born","41.387076","2.180426","91.7","39.7",76,7
111,2023,1,1,"diumenge",12,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","65.8",6
112,2023,1,1,"diumenge",12,"Sagrada Familia","41.404484","2.174691","91.4","46.5","65.6",5
113,2023,1,1,"diumenge",12,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","65.7",6
114,2023,1,1,"diumenge",12,"El Molino","41.37485","2.166773","87.6","60.1","70.2",4
115,2023,1,1,"diumenge",12,"Torre Agbar","41.402124","2.184799","80.8","53.4","61.8",4
116,2023,1,1,"diumenge",12,"Rambla","41.378242","2.175112","88.1","50.2","60.4",3
117,2023,1,1,"diumenge",12,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","67.4",5
118,2023,1,1,"diumenge",13,"Rambla","41.378242","2.175112","88.1","50.2","57.7",2
119,2023,1,1,"diumenge",13,"Torre Agbar","41.402124","2.184799","80.8","53.4","62.2",4
120,2023,1,1,"diumenge",13,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","67.9",6
121,2023,1,1,"diumenge",13,"Mercat del Born","41.387076","2.180426","91.7","39.7","62.8",5
122,2023,1,1,"diumenge",13,"Sagrada Familia","41.404484","2.174691","91.4","46.5","65.8",5
123,2023,1,1,"diumenge",13,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","64.7",6
124,2023,1,1,"diumenge",13,"El Molino","41.37485","2.166773","87.6","60.1","70.3",4
125,2023,1,1,"diumenge",13,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","66.9",5
126,2023,1,1,"diumenge",13,"Plaça de Joanic",41406,"2.162636","90.8","53.1","68.5",5
127,2023,1,1,"diumenge",14,"Torre Agbar","41.402124","2.184799","80.8","53.4","71.6",7
128,2023,1,1,"diumenge",14,"Mercat del Born","41.387076","2.180426","91.7","39.7","64.5",5
129,2023,1,1,"diumenge",14,"Rambla","41.378242","2.175112","88.1","50.2","58.1",3
130,2023,1,1,"diumenge",14,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","68.1",6
131,2023,1,1,"diumenge",14,"Sagrada Familia","41.404484","2.174691","91.4","46.5","65.4",5
132,2023,1,1,"diumenge",14,"Plaça de Joanic",41406,"2.162636","90.8","53.1","68.6",5
133,2023,1,1,"diumenge",14,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","61.9",4
134,2023,1,1,"diumenge",14,"El Molino","41.37485","2.166773","87.6","60.1","69.8",4
135,2023,1,1,"diumenge",14,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","65.6",6
136,2023,1,1,"diumenge",15,"Plaça de Joanic",41406,"2.162636","90.8","53.1","66.4",4
137,2023,1,1,"diumenge",15,"Rambla","41.378242","2.175112","88.1","50.2","64.4",4
138,2023,1,1,"diumenge",15,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","66.6",6
139,2023,1,1,"diumenge",15,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7",63,5
140,2023,1,1,"diumenge",15,"Mercat del Born","41.387076","2.180426","91.7","39.7","61.9",5
141,2023,1,1,"diumenge",15,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7",61,4
142,2023,1,1,"diumenge",15,"El Molino","41.37485","2.166773","87.6","60.1","69.9",4
143,2023,1,1,"diumenge",15,"Sagrada Familia","41.404484","2.174691","91.4","46.5","64.5",5
144,2023,1,1,"diumenge",15,"Torre Agbar","41.402124","2.184799","80.8","53.4","61.7",4
145,2023,1,1,"diumenge",16,"Rambla","41.378242","2.175112","88.1","50.2","64.6",4
146,2023,1,1,"diumenge",16,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8",65,6
147,2023,1,1,"diumenge",16,"Plaça de Joanic",41406,"2.162636","90.8","53.1",67,4
148,2023,1,1,"diumenge",16,"El Molino","41.37485","2.166773","87.6","60.1","69.9",4
149,2023,1,1,"diumenge",16,"Torre Agbar","41.402124","2.184799","80.8","53.4","64.1",4
150,2023,1,1,"diumenge",16,"Sagrada Familia","41.404484","2.174691","91.4","46.5",64,4
151,2023,1,1,"diumenge",16,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","59.5",4
152,2023,1,1,"diumenge",16,"Mercat del Born","41.387076","2.180426","91.7","39.7","61.8",5
153,2023,1,1,"diumenge",16,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","63.2",5
