Suma de Any,Suma de Categoria_Nivell,Suma de Dia,DiaDeLaSetmana,Hora,Recompte de Id,Latitud,Lloc_interes,Id_Instal,Longitud,Suma de Max_Nivell_LAeq_1h,Suma de Mes,Suma de Min_Nivell_LAeq_1h,Suma de Nivell_LAeq_1h
97104,228,745,dijous,1899-12-30 16:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3318.3
103173,220,794,dijous,1899-12-30 17:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3606.2000000000003
103173,208,794,dijous,1899-12-30 17:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3206.9000000000005
103173,232,794,dijous,1899-12-30 17:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3296.1
97104,228,745,dijous,1899-12-30 17:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3319.1999999999994
103173,231,794,dijous,1899-12-30 18:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3633.2000000000007
103173,212,794,dijous,1899-12-30 18:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3231.5000000000005
103173,228,794,dijous,1899-12-30 18:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3283.1
97104,228,745,dijous,1899-12-30 18:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3299.799999999999
103173,227,794,dijous,1899-12-30 19:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3623.2000000000007
103173,218,794,dijous,1899-12-30 19:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3252.3999999999996
103173,222,794,dijous,1899-12-30 19:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3278.1
97104,221,745,dijous,1899-12-30 19:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3282.1
103173,217,794,dijous,1899-12-30 20:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3611.6000000000004
103173,220,794,dijous,1899-12-30 20:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3250.199999999999
103173,212,794,dijous,1899-12-30 20:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3226
